# BEGIN DATA
Process=pp -> e+e-j
Proc=eej
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2017-10-16 14:01:56
# END DATA

# BEGIN HISTO1D eej_pTV_LO
# xlow   xhigh   val   errminus  errplus
6.500000e+02 7.000000e+02 0.000000e+00 0.000000e+00 0.000000e+00
7.000000e+02 7.500000e+02 1.314452e-02 3.283674e-06 3.283674e-06
7.500000e+02 8.000000e+02 2.574551e-02 6.991640e-06 6.991640e-06
8.000000e+02 8.500000e+02 3.774746e-02 1.119519e-05 1.119519e-05
8.500000e+02 9.000000e+02 4.912915e-02 1.595753e-05 1.595753e-05
9.000000e+02 9.500000e+02 5.989130e-02 2.139352e-05 2.139352e-05
9.500000e+02 1.000000e+03 7.005196e-02 2.772039e-05 2.772039e-05
1.000000e+03 1.100000e+03 8.009483e-02 1.217570e-05 1.217570e-05
1.100000e+03 1.200000e+03 9.773545e-02 1.565784e-05 1.565784e-05
1.200000e+03 1.300000e+03 1.134771e-01 2.046320e-05 2.046320e-05
1.300000e+03 1.400000e+03 1.276048e-01 2.611126e-05 2.611126e-05
1.400000e+03 1.600000e+03 1.414925e-01 2.442289e-05 2.442289e-05
1.600000e+03 1.800000e+03 1.639382e-01 3.684270e-05 3.684270e-05
1.800000e+03 2.000000e+03 1.831520e-01 5.374413e-05 5.374413e-05
2.000000e+03 2.200000e+03 2.000925e-01 1.679078e-05 1.679078e-05
2.200000e+03 2.400000e+03 2.153922e-01 2.058318e-05 2.058318e-05
2.400000e+03 2.600000e+03 2.294834e-01 2.716364e-05 2.716364e-05
2.600000e+03 2.800000e+03 2.426387e-01 3.604721e-05 3.604721e-05
2.800000e+03 3.000000e+03 2.550396e-01 4.791485e-05 4.791485e-05
3.000000e+03 6.500000e+03 2.709118e-01 4.598983e-05 4.598983e-05
# END HISTO1D

# BEGIN HISTO1D eej_pTV_K_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.359256e+00 1.881171e-04 1.881171e-04
4.000000e+01 5.000000e+01 1.375955e+00 2.060335e-04 2.060335e-04
5.000000e+01 6.000000e+01 1.387762e+00 2.344751e-04 2.344751e-04
6.000000e+01 7.000000e+01 1.398043e+00 2.636812e-04 2.636812e-04
7.000000e+01 8.000000e+01 1.406250e+00 3.040635e-04 3.040635e-04
8.000000e+01 9.000000e+01 1.414830e+00 3.250115e-04 3.250115e-04
9.000000e+01 1.000000e+02 1.424083e+00 2.776232e-04 2.776232e-04
1.000000e+02 1.100000e+02 1.431835e+00 2.928448e-04 2.928448e-04
1.100000e+02 1.200000e+02 1.438363e+00 3.114228e-04 3.114228e-04
1.200000e+02 1.300000e+02 1.446527e+00 3.362184e-04 3.362184e-04
1.300000e+02 1.400000e+02 1.453257e+00 3.896694e-04 3.896694e-04
1.400000e+02 1.500000e+02 1.458794e+00 4.333015e-04 4.333015e-04
1.500000e+02 2.000000e+02 1.470166e+00 1.303851e-04 1.303851e-04
2.000000e+02 2.500000e+02 1.485208e+00 1.675215e-04 1.675215e-04
2.500000e+02 3.000000e+02 1.494400e+00 2.134189e-04 2.134189e-04
3.000000e+02 3.500000e+02 1.499990e+00 1.623100e-04 1.623100e-04
3.500000e+02 4.000000e+02 1.504627e+00 1.749129e-04 1.749129e-04
4.000000e+02 4.500000e+02 1.507530e+00 1.978336e-04 1.978336e-04
4.500000e+02 5.000000e+02 1.509819e+00 2.264080e-04 2.264080e-04
5.000000e+02 5.500000e+02 1.513019e+00 2.540159e-04 2.540159e-04
5.500000e+02 6.000000e+02 1.513952e+00 2.858252e-04 2.858252e-04
6.000000e+02 6.500000e+02 1.516892e+00 2.260630e-04 2.260630e-04
6.500000e+02 7.000000e+02 1.519050e+00 2.346812e-04 2.346812e-04
7.000000e+02 7.500000e+02 1.520818e+00 2.527445e-04 2.527445e-04
7.500000e+02 8.000000e+02 1.524019e+00 2.716814e-04 2.716814e-04
8.000000e+02 8.500000e+02 1.526065e+00 2.952776e-04 2.952776e-04
8.500000e+02 9.000000e+02 1.527951e+00 3.291771e-04 3.291771e-04
9.000000e+02 9.500000e+02 1.531142e+00 3.649687e-04 3.649687e-04
9.500000e+02 1.000000e+03 1.534409e+00 3.732553e-04 3.732553e-04
1.000000e+03 1.100000e+03 1.537972e+00 1.780781e-04 1.780781e-04
1.100000e+03 1.200000e+03 1.544366e+00 1.868784e-04 1.868784e-04
1.200000e+03 1.300000e+03 1.551121e+00 2.087298e-04 2.087298e-04
1.300000e+03 1.400000e+03 1.558099e+00 2.350775e-04 2.350775e-04
1.400000e+03 1.600000e+03 1.568707e+00 1.759569e-04 1.759569e-04
1.600000e+03 1.800000e+03 1.585289e+00 2.301508e-04 2.301508e-04
1.800000e+03 2.000000e+03 1.603806e+00 3.016640e-04 3.016640e-04
2.000000e+03 2.200000e+03 1.623291e+00 1.282181e-04 1.282181e-04
2.200000e+03 2.400000e+03 1.643787e+00 1.398561e-04 1.398561e-04
2.400000e+03 2.600000e+03 1.665916e+00 1.678782e-04 1.678782e-04
2.600000e+03 2.800000e+03 1.688535e+00 2.089939e-04 2.089939e-04
2.800000e+03 3.000000e+03 1.712270e+00 2.644278e-04 2.644278e-04
3.000000e+03 6.500000e+03 1.747148e+00 2.296556e-04 2.296556e-04
# END HISTO1D

# BEGIN HISTO1D eej_pTV_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.304760e+01 2.373935e-03 2.373935e-03
4.000000e+01 5.000000e+01 7.640053e+00 1.508489e-03 1.508489e-03
5.000000e+01 6.000000e+01 4.761472e+00 1.063333e-03 1.063333e-03
6.000000e+01 7.000000e+01 3.093984e+00 7.722071e-04 7.722071e-04
7.000000e+01 8.000000e+01 2.071708e+00 5.934249e-04 5.934249e-04
8.000000e+01 9.000000e+01 1.422455e+00 4.304807e-04 4.304807e-04
9.000000e+01 1.000000e+02 9.978615e-01 2.553680e-04 2.553680e-04
1.000000e+02 1.100000e+02 7.124339e-01 1.914371e-04 1.914371e-04
1.100000e+02 1.200000e+02 5.166581e-01 1.489265e-04 1.489265e-04
1.200000e+02 1.300000e+02 3.805442e-01 1.173335e-04 1.173335e-04
1.300000e+02 1.400000e+02 2.839598e-01 1.011746e-04 1.011746e-04
1.400000e+02 1.500000e+02 2.144760e-01 8.470010e-05 8.470010e-05
1.500000e+02 2.000000e+02 1.058255e-01 1.185269e-05 1.185269e-05
2.000000e+02 2.500000e+02 3.398202e-02 4.759534e-06 4.759534e-06
2.500000e+02 3.000000e+02 1.295563e-02 2.269742e-06 2.269742e-06
3.000000e+02 3.500000e+02 5.595028e-03 7.732622e-07 7.732622e-07
3.500000e+02 4.000000e+02 2.655702e-03 3.919612e-07 3.919612e-07
4.000000e+02 4.500000e+02 1.355210e-03 2.244372e-07 2.244372e-07
4.500000e+02 5.000000e+02 7.330125e-04 1.380773e-07 1.380773e-07
5.000000e+02 5.500000e+02 4.159426e-04 8.718472e-08 8.718472e-08
5.500000e+02 6.000000e+02 2.451140e-04 5.738462e-08 5.738462e-08
6.000000e+02 6.500000e+02 1.494484e-04 2.798346e-08 2.798346e-08
6.500000e+02 7.000000e+02 9.366519e-05 1.816396e-08 1.816396e-08
7.000000e+02 7.500000e+02 6.012041e-05 1.250329e-08 1.250329e-08
7.500000e+02 8.000000e+02 3.942635e-05 8.764839e-09 8.764839e-09
8.000000e+02 8.500000e+02 2.631108e-05 6.328674e-09 6.328674e-09
8.500000e+02 9.000000e+02 1.784060e-05 4.776074e-09 4.776074e-09
9.000000e+02 9.500000e+02 1.227881e-05 3.635449e-09 3.635449e-09
9.500000e+02 1.000000e+03 8.559770e-06 2.553500e-09 2.553500e-09
1.000000e+03 1.100000e+03 5.161703e-06 7.348922e-10 7.348922e-10
1.100000e+03 1.200000e+03 2.660022e-06 3.937343e-10 3.937343e-10
1.200000e+03 1.300000e+03 1.415259e-06 2.317036e-10 2.317036e-10
1.300000e+03 1.400000e+03 7.731124e-07 1.411526e-10 1.411526e-10
1.400000e+03 1.600000e+03 3.385502e-07 4.478821e-11 4.478821e-11
1.600000e+03 1.800000e+03 1.122507e-07 1.906395e-11 1.906395e-11
1.800000e+03 2.000000e+03 3.906469e-08 8.532338e-12 8.532338e-12
2.000000e+03 2.200000e+03 1.404523e-08 1.321794e-12 1.321794e-12
2.200000e+03 2.400000e+03 5.157855e-09 5.157173e-13 5.157173e-13
2.400000e+03 2.600000e+03 1.918384e-09 2.240190e-13 2.240190e-13
2.600000e+03 2.800000e+03 7.170746e-10 1.018321e-13 1.018321e-13
2.800000e+03 3.000000e+03 2.678517e-10 4.706138e-14 4.706138e-14
