name                                              b-only fit            s+b fit         rho
btag2016                                      ! +3.65, 0.62!     ! +3.60, 0.82!       -0.00
sr2016passrecoil2_wjetsMC_mcstat_bin9            +0.42, 0.90        +0.41, 0.93       +0.00
sr2016passrecoil2_wlfMC_mcstat_bin0              -0.78, 0.87        -0.74, 0.89       -0.03
sr2016passrecoil2_wlfMC_mcstat_bin1              -0.62, 0.86        -0.59, 0.88       -0.02
sr2016passrecoil2_wlfMC_mcstat_bin10             -0.49, 0.93        -0.49, 0.96       +0.00
sr2016passrecoil2_wlfMC_mcstat_bin2              -0.75, 0.88        -0.73, 0.90       -0.01
sr2016passrecoil2_wlfMC_mcstat_bin3              -0.17, 0.85        -0.17, 0.87       +0.02
sr2016passrecoil2_wlfMC_mcstat_bin5              +0.75, 0.86        +0.74, 0.89       +0.04
sr2016passrecoil2_wlfMC_mcstat_bin6              +0.51, 0.86        +0.53, 0.89       -0.01
sr2016passrecoil2_wlfMC_mcstat_bin7              -0.74, 0.91        -0.73, 0.93       -0.01
sr2016passrecoil2_wlfMC_mcstat_bin8              +0.61, 0.91        +0.62, 0.94       -0.01
sr2016passrecoil2_wlfMC_mcstat_bin9              -0.58, 0.93        -0.57, 0.95       -0.00
sr2016passrecoil3_whfMC_mcstat_bin4              +0.35, 0.96        +0.35, 0.99       +0.02
sr2016passrecoil3_whfMC_mcstat_bin9              +0.30, 0.94        +0.30, 0.97       -0.00
sr2016passrecoil3_wjetsMC_mcstat_bin0            +0.57, 0.84        +0.56, 0.86       -0.00
sr2016passrecoil3_wjetsMC_mcstat_bin1            +0.04, 0.84        +0.03, 0.86       +0.00
sr2016passrecoil3_wjetsMC_mcstat_bin10           -0.02, 0.90        -0.02, 0.92       +0.00
sr2016passrecoil3_wjetsMC_mcstat_bin2            -0.73, 0.81        -0.76, 0.84       +0.01
sr2016passrecoil3_wjetsMC_mcstat_bin3            +0.33, 0.84        +0.31, 0.87       +0.03
sr2016passrecoil3_wjetsMC_mcstat_bin4            -0.98, 0.83        -1.04, 0.86       +0.06
sr2016passrecoil3_wjetsMC_mcstat_bin5            -0.07, 0.86        -0.10, 0.88       +0.03
sr2016passrecoil3_wjetsMC_mcstat_bin6            -0.06, 0.83        +0.09, 0.88       -0.00
sr2016passrecoil3_wjetsMC_mcstat_bin7            +0.15, 0.87        +0.15, 0.89       -0.01
